timestamp,log_type,event_type,source_ip,destination_ip,user,severity,message
2025-07-30 09:05:23,IDS,Malware Signature Detected,192.168.1.25,10.0.0.2,root,Critical,Malware Signature Detected from 192.168.1.25 to 10.0.0.2 using user root
2025-08-03 00:46:23,Application,Login Failure,192.168.1.12,10.0.0.19,admin,Medium,Login Failure from 192.168.1.12 to 10.0.0.19 using user admin
2025-08-04 05:24:23,System,Brute Force Attack,192.168.1.10,10.0.0.35,admin,High,Brute Force Attack from 192.168.1.10 to 10.0.0.35 using user admin
2025-07-29 10:47:23,IDS,Anomaly Detected,192.168.1.8,10.0.0.32,root,Low,Anomaly Detected from 192.168.1.8 to 10.0.0.32 using user root
2025-08-03 01:37:23,Application,Privilege Escalation,192.168.1.17,10.0.0.12,admin,Low,Privilege Escalation from 192.168.1.17 to 10.0.0.12 using user admin
2025-08-01 17:50:23,IDS,RDP Connection,192.168.1.16,10.0.0.19,guest,High,RDP Connection from 192.168.1.16 to 10.0.0.19 using user guest
2025-07-29 20:21:23,Authentication,Privilege Escalation,192.168.1.85,10.0.0.1,root,Critical,Privilege Escalation from 192.168.1.85 to 10.0.0.1 using user root
2025-07-29 17:30:23,Authentication,Port Scan Detected,192.168.1.89,10.0.0.25,root,Low,Port Scan Detected from 192.168.1.89 to 10.0.0.25 using user root
2025-07-30 17:28:23,Application,RDP Connection,192.168.1.74,10.0.0.29,service_account,Critical,RDP Connection from 192.168.1.74 to 10.0.0.29 using user service_account
2025-07-30 00:48:23,Firewall,Anomaly Detected,192.168.1.49,10.0.0.48,user1,Low,Anomaly Detected from 192.168.1.49 to 10.0.0.48 using user user1
2025-07-29 10:57:23,Authentication,Privilege Escalation,192.168.1.29,10.0.0.18,service_account,High,Privilege Escalation from 192.168.1.29 to 10.0.0.18 using user service_account
2025-08-04 21:59:23,System,Anomaly Detected,192.168.1.12,10.0.0.2,guest,Low,Anomaly Detected from 192.168.1.12 to 10.0.0.2 using user guest
2025-07-30 17:22:23,Authentication,Anomaly Detected,192.168.1.90,10.0.0.36,admin,Medium,Anomaly Detected from 192.168.1.90 to 10.0.0.36 using user admin
2025-07-31 05:21:23,Firewall,Suspicious File Executed,192.168.1.35,10.0.0.40,user1,High,Suspicious File Executed from 192.168.1.35 to 10.0.0.40 using user user1
2025-07-29 08:49:23,Firewall,Malware Signature Detected,192.168.1.67,10.0.0.25,root,Low,Malware Signature Detected from 192.168.1.67 to 10.0.0.25 using user root
2025-08-04 23:58:23,System,Port Scan Detected,192.168.1.42,10.0.0.2,user1,Critical,Port Scan Detected from 192.168.1.42 to 10.0.0.2 using user user1
2025-07-30 04:21:23,System,Suspicious File Executed,192.168.1.27,10.0.0.45,service_account,Low,Suspicious File Executed from 192.168.1.27 to 10.0.0.45 using user service_account
2025-08-05 04:16:23,Firewall,Data Exfiltration,192.168.1.88,10.0.0.44,admin,Critical,Data Exfiltration from 192.168.1.88 to 10.0.0.44 using user admin
2025-07-31 10:56:23,Authentication,Login Failure,192.168.1.50,10.0.0.13,admin,Critical,Login Failure from 192.168.1.50 to 10.0.0.13 using user admin
2025-07-30 03:16:23,Authentication,Phishing Attempt,192.168.1.77,10.0.0.30,user1,High,Phishing Attempt from 192.168.1.77 to 10.0.0.30 using user user1
2025-08-04 08:14:23,System,Suspicious File Executed,192.168.1.11,10.0.0.27,root,Medium,Suspicious File Executed from 192.168.1.11 to 10.0.0.27 using user root
2025-08-02 07:32:23,Authentication,Phishing Attempt,192.168.1.41,10.0.0.14,root,Medium,Phishing Attempt from 192.168.1.41 to 10.0.0.14 using user root
2025-08-03 10:15:23,Firewall,Anomaly Detected,192.168.1.66,10.0.0.6,user1,Critical,Anomaly Detected from 192.168.1.66 to 10.0.0.6 using user user1
2025-07-31 22:54:23,Authentication,Phishing Attempt,192.168.1.55,10.0.0.29,service_account,High,Phishing Attempt from 192.168.1.55 to 10.0.0.29 using user service_account
2025-08-04 13:47:23,Authentication,Unauthorized Access Attempt,192.168.1.16,10.0.0.29,admin,Low,Unauthorized Access Attempt from 192.168.1.16 to 10.0.0.29 using user admin
2025-08-03 06:16:23,Authentication,Data Exfiltration,192.168.1.40,10.0.0.17,user1,Medium,Data Exfiltration from 192.168.1.40 to 10.0.0.17 using user user1
2025-07-30 19:58:23,Application,Port Scan Detected,192.168.1.38,10.0.0.14,user1,High,Port Scan Detected from 192.168.1.38 to 10.0.0.14 using user user1
2025-08-03 03:35:23,Application,RDP Connection,192.168.1.22,10.0.0.14,service_account,Medium,RDP Connection from 192.168.1.22 to 10.0.0.14 using user service_account
2025-08-01 09:43:23,System,Anomaly Detected,192.168.1.59,10.0.0.32,guest,Low,Anomaly Detected from 192.168.1.59 to 10.0.0.32 using user guest
2025-07-30 05:16:23,System,Suspicious File Executed,192.168.1.66,10.0.0.45,service_account,Critical,Suspicious File Executed from 192.168.1.66 to 10.0.0.45 using user service_account
2025-08-01 16:45:23,Application,Login Failure,192.168.1.67,10.0.0.45,user1,Critical,Login Failure from 192.168.1.67 to 10.0.0.45 using user user1
2025-08-03 21:43:23,IDS,RDP Connection,192.168.1.5,10.0.0.27,guest,Medium,RDP Connection from 192.168.1.5 to 10.0.0.27 using user guest
2025-07-31 00:10:23,System,Unauthorized Access Attempt,192.168.1.33,10.0.0.23,service_account,Medium,Unauthorized Access Attempt from 192.168.1.33 to 10.0.0.23 using user service_account
2025-07-31 08:58:23,Application,Malware Signature Detected,192.168.1.61,10.0.0.27,root,Medium,Malware Signature Detected from 192.168.1.61 to 10.0.0.27 using user root
2025-07-31 11:31:23,Application,RDP Connection,192.168.1.30,10.0.0.44,service_account,High,RDP Connection from 192.168.1.30 to 10.0.0.44 using user service_account
2025-08-01 12:20:23,Firewall,Unauthorized Access Attempt,192.168.1.24,10.0.0.46,admin,Critical,Unauthorized Access Attempt from 192.168.1.24 to 10.0.0.46 using user admin
2025-08-01 19:34:23,System,Privilege Escalation,192.168.1.89,10.0.0.42,root,Critical,Privilege Escalation from 192.168.1.89 to 10.0.0.42 using user root
2025-07-31 22:38:23,IDS,Malware Signature Detected,192.168.1.39,10.0.0.38,guest,Low,Malware Signature Detected from 192.168.1.39 to 10.0.0.38 using user guest
2025-07-31 17:24:23,Authentication,Anomaly Detected,192.168.1.41,10.0.0.13,root,Critical,Anomaly Detected from 192.168.1.41 to 10.0.0.13 using user root
